stem_id,example_id,example_form,example_form_comm_untokenised,example_form_comm_tokenised,ex_DE,ex_EN,ex_IDN,example_variant,ex_variant_comm_untokenised,ex_variant_comm_tokenised,ex_variant_DE,ex_variant_EN,ex_variant_IDN,example_dialect_variant,example_etymological_form,example_etymological_language_donor,example_loanword_form,example_loanword_language_donor,example_source_form,example_source_form_homonymID,ex_remark_DE,ex_remark_EN,ex_remark_IDN,ex_crossref_DE,ex_crossref_EN,ex_crossref_IDN,ex_concept,ex_variant_concept,ex_remark_concept,ex_crossref_concept
11_1684301608,11_1684301608_3,e[ˀ]akaha:iˀi,e[']akaha:i'i,e [ ' ] a k a h a:i ' i,"das Einssein , die Einheit","the oneness , the unity","keesaan , kesatuan",NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684301608,11_1684301608_4,e[ˀ]akaha:iˀi ukitai,e[']akaha:i'i ukitai,e [ ' ] a k a h a:i ' i # u k i t a i,das Einigsein,the unity,kesatuan,NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684301608,11_1684301608_5,kaha:iˀi ekidai,kaha:i'i ekidai,k a h a:i ' i # e k i d a i,sich entschließen,to decide,memutuskan,NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684301608,11_1684301608_6,kipakaha:iˀi,kipakaha:i'i,k i p a k a h a:i ' i,"(sich) zusammentun , vereinen","(to) join together , unite","bergabung bersama, bersatu",NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684302181,11_1684302181_0,hoo mũkahanõnõ,hoo mũkahanõnõ,h o o # m ũ k a h a n õ n õ,bereits fest schlafen,to already sleep soundly,sudah tidur nyenyak,NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684302181,11_1684302181_1,ekahanõnõ,ekahanõnõ,e k a h a n õ n õ,das feste Schlafen,the sound sleeping,tidurnya yang nyenyak,NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,G20,G20,G20,NA,NA,NA,NA
11_1684818734,11_1684818734_0,ededeaki,ededeaki,e d e d e a k i,Pl,Plural,bentuk jamak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684819089,11_1684819089_0,eakapita uboo,eakapita uboo,e a k a p i t a # u b o o,Flußmündung,river mouth,muara sungai,NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684819089,11_1684819089_1,ekoˀeˀe iakapita,eko'e'e iakapita,e k o ' e ' e # i a k a p i t a,Dämon an der Flußmundung,Demon at the river mouth,Iblis di muara sungai,NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,s H88:280 èkowèk ijakafita,see H88:280f über èkowèk ijakafita,lihat H88:280f tentang èkowèk ijakafita,NA,NA,NA,NA
11_1684819992,11_1684819992_0,ekãpũ,ekãpũ,e k ã p ũ,"Sippenvorsteher ; alter Mann , Senior","clan leader ; old man , senior","pemimpin klan ; orang tua , senior",NA,NA,NA,NA,NA,NA,NA,t·empu,10,NA,"""""",NA,NA,Sim ambu=ambo Großeltern,Sim ambu=ambo 'grandparents',Sim ambu=ambo 'kakek dan nenek',VIIIz20,VIIIz20,VIIIz20,NA,NA,kinship ; CHECK THIS,NA
11_1684819992,11_1684819992_1,kanãpũ,kanãpũ,k a n ã p ũ,Pl,Plural,bentuk jamak,NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684819992,11_1684819992_2,eˀakapũˀã,e'akapũ'ã,e ' a k a p ũ ' ã,Häuptling,Chief,Ketua,NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684819992,11_1684819992_3,kãpũ,kãpũ,k ã p ũ,"alt , groß , erwachsen sein ; heranwachsen","to be old , tall , grown up ; grow up","menjadi tua , tinggi , dewasa ; tumbuh dewasa",kãpũũ,kãpũũ,k ã p ũ ũ,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684819992,11_1684819992_4,epae eˀana hoo kãpũũ,epae e'ana hoo kãpũũ,e p a e # e ' a n a # h o o # k ã p ũ ũ,das Kind ist schon groß,the child is already big,anak sudah besar,NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684819992,11_1684819992_5,yakãpũũ,yakãpũũ,y a k ã p ũ ũ,es wuchs heran,it grew up,itu tumbuh,NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684819992,11_1684819992_6,kakakapũũ,kakakapũũ,k a k a k a p ũ ũ,allmählich heranwachsen,grow up gradually,tumbuh secara bertahap,NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684819992,11_1684819992_7,kõˀõ kapũũ,kõ'õ kapũũ,k õ ' õ # k a p ũ ũ,Mitternacht,midnight,tengah malam,kõˀã kapũũ,kõ'ã kapũũ,k õ ' ã # k a p ũ ũ,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684820458,11_1684820458_0,kahakara,kahakara,k a h a k a r a,ein Stück,one piece,satu potong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684820785,11_1684820785_0,kikaráˀa,kikará'a,k i k a r á ' a,zerbrechen,to break,pecah ; patah,NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,intr,intransitive,intransitif,NA,NA,NA,NA,NA,NA,NA
11_1684820785,11_1684820785_1,epidíí kikaraˀa,epidíí kikara'a,e p i d í í # k i k a r a ' a,der Teller zerbricht,the plate breaks,piringnya pecah,NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684820785,11_1684820785_2,kikaraˀáˀa,kikara'á'a,k i k a r a ' á ' a,etwas zerbrechen,to break something,memecahkan sesuatu ; mematahkan sesuatu,NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,tr,transitive,transitif,NA,NA,NA,NA,NA,NA,NA
11_1684820785,11_1684820785_3,ekaraˀaho,ekara'aho,e k a r a ' a h o,(noun) zu Zerbrechende,(things) to be broken (noun),(benda) yang dipatahkan (kata benda),NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684820785,11_1684820785_4,edikaraˀaˀa,edikara'a'a,e d i k a r a ' a ' a,(noun) Zerbrochene,broken (things) (noun),(benda) yang rusak (kata benda),NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684821015,11_1684821015_0,ekaraha udohoao,ekaraha udohoao,e k a r a h a # u d o h o a o,Bootsrumpf,boat hull,lambung kapal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684821125,11_1684821125_0,pakaraha,pakaraha,p a k a r a h a,mitten durch,right through the middle,tepat menuju tengah-tengah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684821125,11_1684821125_1,dabuhəka pakaraha,dabuhu̇ka pakaraha,d a b u h u̇ k a # p a k a r a h a,sie schnitten (ihn) mitten durch,they cut (him) through the middle,mereka memotong (dia) di tengah-tengah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684821125,11_1684821125_2,kipakaráha,kipakaráha,k i p a k a r á h a,etwas querlegen,put something across,menaruh sesuatu di seberang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684821125,11_1684821125_3,edipakaraha,edipakaraha,e d i p a k a r a h a,(noun) Quergelegte,cross-laid (things) (noun),(benda-benda) yang diletakkan bersilangan (kata benda),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684821170,11_1684821170_0,epakaraha,epakaraha,e p a k a r a h a,Norden,north,utara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684821170,11_1684821170_1,ipakaraha,ipakaraha,i p a k a r a h a,im Norden,in the North,di utara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684821241,11_1684821241_0,kikarahai,kikarahai,k i k a r a h a i,an einem Tragestock tragen,to carry on a carrying stick,membawa/memikul dengan tiang pikul/gendong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,karaha,2?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684822292,11_1684822292_0,kikakaríaˀa,kikakaría'a,k i k a k a r í a ' a,sich umdrehen,to turn around,berbalik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684822292,11_1684822292_1,kipakakaríaˀa,kipakakaría'a,k i p a k a k a r í a ' a,etwas umdrehen,to turn something around,membalikkan sesuatu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684822292,11_1684822292_2,edipakaríaˀa,edipakaría'a,e d i p a k a r í a ' a,(noun) Umgewendete,turned (things) (noun),(benda) yang dibalik (kata benda),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684823541,11_1684823541_0,ekarixa eˀaa upoo,ekarixa e'aa upoo,e k a r i x a # e ' a a # u p o o,"(""Ohr und zwar Knochen der Kokosnuß"" =) eine Art Ring aus der Schale einer Kokosnuß","(""Ear and bones of the coconut"" =) a kind of ring made from the shell of a coconut","(""Telinga dan tulang kelapa"" =) sejenis cincin yang terbuat dari tempurung kelapa",NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,"MOD fig.2 auf S.76 ; H16 èkarieha oor , oorsieraad , destijds bestaande in opgerolde pisangbladeren , ringen van eene kleine soort kokosnoot of van hoorn vervaardigd","MOD figure 2 on page 76 ; H16 èkarieha 'ear , ear ornament , then consisting of coiled pisang leaves , rings made of a small type of coconut or of horn'","MOD gambar 2 di halaman 76; H16 èkarieha 'telinga, hiasan telinga, kemudian terdiri dari daun pisang yang melingkar, cincin yang terbuat dari kelapa kecil atau tanduk'","92z13 , 104z13f","92z13 , 104z13f","92z13, 104z13f",NA,NA,cultural item ; ornament ; CHECK THIS,NA
11_1684823541,11_1684823541_1,ekarixa uae,ekarixa uae,e k a r i x a # u a e,Fußknöchel,Ankle,pergelangan kaki,NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684823541,11_1684823541_2,ekarixa uˀapo,ekarixa u'apo,e k a r i x a # u ' a p o,Handknöchel (Handgelenk?),knuckles (wrist?),buku-buku jari (pergelangan tangan?),NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684823541,11_1684823541_3,ekarixa uopoˀoki,ekarixa uopo'oki,e k a r i x a # u o p o ' o k i,Gewehrhahn (Abzugshahn?),Gun cock (trigger cock?),pucuk senapan (pelatuk pemicu?),NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684823541,11_1684823541_4,ekarixa upue,ekarixa upue,e k a r i x a # u p u e,collum glandis,collum glandis,collum glandis,NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684823929,11_1684823929_0,ekarixai uˀapo,ekarixai u'apo,e k a r i x a i # u ' a p o,Fingerring,Finger ring,Cincin jari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s IXz23-26 ; H16 èkarieha oe(w)apo armband , gew. van glaskoralen of akar bahar ; MOD:219 coriáha uápo cerchietti di corallo nero che si portano al braccio","see IXz23-26 ; H16 èkarieha oe(w)apo 'bracelet , made (?) of glass corals or akar bahar' ; MOD:219 coriáha uápo 'black coral headbands worn on the arm'","lihat IXz23-26 ; H16 èkarieha oe(w)apo 'gelang, terbuat (?) dari karang kaca atau akar bahar' ; MOD:219 coriáha uápo 'ikat kepala dari karang hitam yang dipakai di lengan'",NA,NA,NA,cultural object ; CHECK THIS
11_1684824278,11_1684824278_0,eaˀakarinõnõ,ea'akarinõnõ,e a ' a k a r i n õ n õ,Spuk,haunt/spook (noun),yang menghantui (kata benda),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111z24 ; s kanĩnõnõ,111z24 ; see kanĩnõnõ,111z24 ; lihat kanĩnõnõ,NA,NA,NA,NA
11_1684824934,11_1684824934_0,kipakakarodi,kipakakarodi,k i p a k a k a r o d i,einen Kreis bilden,to form a circle,membentuk lingkaran,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684824934,11_1684824934_1,kikarodixi,kikarodixi,k i k a r o d i x i,"sich im Kreis setzen um etwas/jmd , einen Kreis bilden um etwas/jmd","sit in a circle around something/someone , form a circle around something/someone","duduk melingkar mengelilingi sesuatu/seseorang , membentuk lingkaran mengelilingi sesuatu/seseorang",kikadodixi,kikadodixi,k i k a d o d i x i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684824934,11_1684824934_2,kipakarodíaˀa,kipakarodía'a,k i p a k a r o d í a ' a,etwas aufwickeln zu einer Rolle,to roll something up into a roll,menggulung sesuatu menjadi gulungan,kipahakarodi,kipahakarodi,k i p a h a k a r o d i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684824934,11_1684824934_3,epahakarodíaˀa,epahakarodía'a,e p a h a k a r o d í a ' a,"Liedart , Tanzart mit Gesang","Type of song , type of dance with singing","Jenis lagu , jenis tarian dengan nyanyian",epahakalodíaˀa,epahakalodía'a,e p a h a k a l o d í a ' a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684825152,11_1684825152_0,ekaroha:iya,ekaroha:iya,e k a r o h a:i y a,Schatten,Shadow,Bayangan,ekoroha:iya,ekoroha:iya,e k o r o h a:i y a,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684825152,11_1684825152_1,kaˀakaroha:iya,ka'akaroha:iya,k a ' a k a r o h a:i y a,"schattig , beschattet","shady , shaded","teduh , teduh",NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684825152,11_1684825152_2,kikarohahíaˀa,kikarohahía'a,k i k a r o h a h í a ' a,etwas in den Schatten legen,to put something in the shade,meletakkan sesuatu di tempat teduh,kikaroha:iyaˀa ; kadaroha:iyaˀa,kikaroha:iya'a ; kadaroha:iya'a,k i k a r o h a:i y a ' a # ; # k a d a r o h a:i y a ' a,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684825821,11_1684825821_0,kikaroˀo:ixi,kikaro'o:ixi,k i k a r o ' o:i x i,etwas ausbreiten,to spread something out,menyebarkan sesuatu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684825821,11_1684825821_1,dabukaroˀo:ixi itopo,dabukaro'o:ixi itopo,d a b u k a r o ' o:i x i # i t o p o,sie breiten (sie) auf der Erde aus,they spread (them) on the earth,mereka menyebarkannya di muka bumi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684826820,11_1684826820_0,bukarúˀa,bukarú'a,b u k a r ú ' a,ein (zB Fische) im Netz Heraushebender,a person lifting (e.g. fish) in a net (noun),orang yang mengangkat (misalnya ikan) dalam jaring (kata benda),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684832677,11_1684832677_0,kipakipaháˀa,kipakipahá'a,k i p a k i p a h á ' a,"mit der flachen Hand gegen etwas schlagen , gegen etwas stoßen","to hit something with the palm of your hand , to bump against something","memukul sesuatu dengan telapak tangan , menabrak sesuatu",NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,Oǃ,Oǃ,Oǃ,NA,NA,NA,NA,NA,NA,NA
11_1684832677,11_1684832677_1,edipakipahaˀa,edipakipaha'a,e d i p a k i p a h a ' a,"(noun) so Geschlagene , Gestoßene","(people/things) so beaten , hit (noun)","(orang/benda) jadi dipukuli , memukul (kata benda)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684832820,11_1684832820_0,ki kipã́hã:ĩ,ki kipã́hã:ĩ,k i # k i p ã ́ h ã:ĩ,Geschwister mit ihren Ehefrauen und Kindern,Siblings with their wives and children,Saudara kandung dengan istri dan anak-anak mereka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684833312,11_1684833312_0,kakĩpãkĩpã,kakĩpãkĩpã,k a k ĩ p ã k ĩ p ã,bunt,colorful,penuh warna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684833595,11_1684833595_0,ekipəda eˀəmãkã,ekipu̇da e'u̇mãkã,e k i p u̇ d a # e ' u̇ m ã k ã,dgl (im Meer),and the like (in the sea),dan sejenisnya (di laut),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684833595,11_1684833595_1,ekipəda eˀũmãõ,ekipu̇da e'ũmãõ,e k i p u̇ d a # e ' ũ m ã õ,dgl,and the like,dan sejenisnya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684833595,11_1684833595_2,ekipəda enãpĩnãpĩ,ekipu̇da enãpĩnãpĩ,e k i p u̇ d a # e n ã p ĩ n ã p ĩ,dgl,and the like,dan sejenisnya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684833595,11_1684833595_3,ekipəda kapiˀopiˀo,ekipu̇da kapi'opi'o,e k i p u̇ d a # k a p i ' o p i ' o,gefleckter Rochen,spotted ray,sinar berbintik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684833595,11_1684833595_4,ekipəda udoˀodao,ekipu̇da udo'odao,e k i p u̇ d a # u d o ' o d a o,Rochen,ray(s),sinar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ML pari pasir,ML pari pasir,ML pari pasir,NA,NA,NA,NA,NA,NA,NA
11_1684833595,11_1684833595_5,ekipəda ekaˀakəada,ekipu̇da eka'aku̇ada,e k i p u̇ d a # e k a ' a k u̇ a d a,Rochen,ray(s),sinar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ML pari dahun,ML pari dahun,ML pari dahun,NA,NA,NA,NA,NA,NA,NA
11_1684833758,11_1684833758_0,ekípokipõ,ekípokipõ,e k í p o k i p õ,wildes Zuckerrohr,wild cane,tebu liar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEC 3o12 kipo-kipo. kifo-kifo 'Saccharum spontaneum L',DEC 3o12 kipo-kipo. kifo-kifo 'Spontaneous sugar L',DEC 3o12 kipo-kipo. kifo-kifo 'Gula spontan L',NA,NA,NA,NA
11_1684834010,11_1684834010_0,eikipói,eikipói,e i k i p ó i,"(Schützensmittel =) großer Schild , fünf Ellen hoch","(Protective means =) large shield , five cubits high","(Alat pelindung =) perisai besar , setinggi lima hasta",NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,NA,NA,NA,MOD fig.46 auf S.241 und tav.XXI auf S.239,MOD figure 46 on page 241 and table XXI on page 239,MOD gambar 46 pada halaman 241 dan tabel XXI pada halaman 239,NA,NA,NA,NA
11_1684834010,11_1684834010_1,ˀua kikipoi ˀua,'ua kikipoi 'ua,' u a # k i k i p o i # ' u a,ich schütze mich,I protect myself,Aku melindungi diriku sendiri,ˀua kipõpõhõ:ĩ,'ua kipõpõhõ:ĩ,' u a # k i p õ p õ h õ:ĩ,NA,NA,NA,ˀua kipõpõhõ:ĩ (arch),NA,"""""",NA,"""""",NA,NA,arch,archaic,kuno,NA,NA,NA,NA,NA,NA,NA
11_1684834106,11_1684834106_0,kakubita,kakubita,k a k u b i t a,in Empfang nehmen,to receive,menerima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kabukita,NA,NA,NA,NA,89z14,89z14,89z14,NA,NA,NA,NA
11_1684834106,11_1684834106_1,ekitabo,ekitabo,e k i t a b o,Gast,Guest,tamu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kabo,NA,vgl,cf.,lih.,NA,NA,NA,NA,NA,NA,NA
11_1684834366,11_1684834366_0,kipakita,kipakita,k i p a k i t a,"(ver)mengen , verkehren mit ; tauschen","(mix) up , deal with ; to exchange","(mencampur) , berurusan dengan ; menukar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684834366,11_1684834366_1,hoo pakita,hoo pakita,h o o # p a k i t a,vermischte bereits,mixed already,sudah bercampur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684834366,11_1684834366_2,ˀua pakita hii ekaka eˀana,'ua pakita hii ekaka e'ana,' u a # p a k i t a # h i i # e k a k a # e ' a n a,ich verkehre mit jenem Menschen,I am dealing with that person,Saya berurusan dengan orang itu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684834366,11_1684834366_3,edipakitaháˀa,edipakitahá'a,e d i p a k i t a h á ' a,"das , womit vermengt wird",that which is mixed with,yang dicampur dengan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684834366,11_1684834366_4,edipakitaháˀa ukaka edobu,edipakitahá'a ukaka edobu,e d i p a k i t a h á ' a # u k a k a # e d o b u,das Vermengte (= Getauschte) der Leute sind Waren,what people mix (= exchange) are goods,apa yang dicampur (= ditukar) orang adalah barang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684834438,11_1684834438_0,kipakita,kipakita,k i p a k i t a,(Zähne) klappern,(teeth) chatter,(gigi) obrolan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1684912878,11_1684912878_0,kakitaˀa,kakita'a,k a k i t a ' a,"etwas erinnern , sich erinnern","to remember something , remember","mengingat sesuatu , ingat",kabakitaˀa,kabakita'a,k a b a k i t a ' a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cognition,NA,NA,NA
11_1684912878,11_1684912878_1,hoo bakitaˀa,hoo bakita'a,h o o # b a k i t a ' a,sich erinnert haben,have remembered,telah ingat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cognition,NA,NA,NA
11_1684912878,11_1684912878_2,ˀuabakitaˀa,'uabakita'a,' u a b a k i t a ' a,ich erinnere etwas,I remember something,Aku ingat sesuatu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cognition,NA,NA,NA
11_1684912878,11_1684912878_3,kakikitaˀa,kakikita'a,k a k i k i t a ' a,genau erinnern,remember exactly,ingat persis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cognition,NA,NA,NA
11_1684912878,11_1684912878_4,kidakitaˀa,kidakita'a,k i d a k i t a ' a,erinnert weden,to be reminded,diingatkan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cognition,NA,NA,NA
11_1684912878,11_1684912878_5,edakitaˀa,edakita'a,e d a k i t a ' a,das Erinnerte,the remembered,yang diingat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cognition,NA,NA,NA
11_1684912878,11_1684912878_6,edakikitaˀa,edakikita'a,e d a k i k i t a ' a,"das , woran man sich zu erinnern pflegt",what one tends to remember,apa yang cenderung diingat seseorang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cognition,NA,NA,NA
11_1684915165,11_1684915165_0,kikitaha,kikitaha,k i k i t a h a,stecken,to put,"menempatkan , meletakkan",NA,NA,NA,NA,NA,NA,NA,NA,"""""",NA,"""""",NA,NA,intr,intransitive,intransitif,NA,NA,NA,caused motion,NA,NA,NA
