ID,stem_id,kms_Alphabet,kms_page,kms_entry_no,stem_form,stem_form_comm_untokenised,stem_homonymID,stem_DE,stem_EN,stem_IDN,stem_formVarian,stem_formVarian_untokenised,stem_formVarian_tokenised,stem_variant_DE,stem_variant_EN,stem_variant_IDN,stem_dialectVariant,stem_etymological_form,stem_etym_form_German,stem_etymological_language_donor,stem_source_form,stem_source_form_homonymID,stem_remark_DE,stem_remark_EN,stem_remark_IDN,stem_crossref_DE,stem_crossref_EN,stem_crossref_IDN,stem_form_comm_tokenised,example_id,example_form,example_form_comm_untokenised,example_form_comm_tokenised,ex_DE,ex_EN,ex_IDN,example_variant,ex_variant_comm_untokenised,ex_variant_comm_tokenised,ex_variant_DE,ex_variant_EN,ex_variant_IDN,example_dialect_variant,example_etymological_form,example_etymological_language_donor,example_loanword_form,example_loanword_language_donor,example_source_form,example_source_form_homonymID,ex_remark_DE,ex_remark_EN,ex_remark_IDN,ex_crossref_DE,ex_crossref_EN,ex_crossref_IDN,ex_concept,ex_variant_concept,ex_remark_concept,ex_crossref_concept,stem_loan_form,stem_loan_lang
228,8_1686022762,a,19,1,ape,ape,NA,"wenn, falls, ob","if , if , whether","jika , jika , apakah",abe; a-,abe; a-,a b e ; # a -,NA,NA,NA,abe (DIA),NA,NA,NA,NA,NA,NA,NA,NA,"§§ 15e, 24c","§§ 15e , 24c","§§ 15e, 24c",a p e,8_1686022762_0,ape a-,ape a-,a p e # a -,ob,if/whether,jika/apakah,aupe a-,aupe a-,a u p e # a -,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,8_1686022762,a,19,1,ape,ape,NA,"wenn, falls, ob","if , if , whether","jika , jika , apakah",abe; a-,abe; a-,a b e ; # a -,NA,NA,NA,abe (DIA),NA,NA,NA,NA,NA,NA,NA,NA,"§§ 15e, 24c","§§ 15e , 24c","§§ 15e, 24c",a p e,8_1686022762_1,apeape a-,apeape a-,a p e a p e # a -,als ob,as if,seolah-olah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,§ 31c,§ 31c,§ 31c,NA,NA,NA,NA,NA,NA
229,8_1686023027,a,19,2,eˀapeˀe:iyo,e'ape'e:iyo,NA,"Ichthyosis, Fischschuppenkrankheit","Ichthyosis , fish scale disease","Ichthyosis, penyakit sisik ikan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,e ' a p e ' e:i y o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,8_1686024192,a,19,3,eˀaperúa:u,e'aperúa:u,NA,Stern,star,bintang,NA,NA,NA,NA,NA,NA,NA,bi(n)tuqən ?,NA,PAN,NA,NA,NA,NA,NA,NA,NA,NA,e ' a p e r ú a:u,8_1686024192_0,eˀaperúa:u ebĩ́kõnõˀṍãˀã,e'aperúa:u ebĩ́kõnõ'ṍã'ã,e ' a p e r ú a:u # e b ĩ ́ k õ n õ ' ṍ ã ' ã,Morgenstern,Morning Star,Bintang Kejora,NA,NA,NA,NA,NA,NA,fiikanõˀṍãˀã (DIA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,celestial,NA,NA,NA,NA,NA
230,8_1686024192,a,19,3,eˀaperúa:u,e'aperúa:u,NA,Stern,star,bintang,NA,NA,NA,NA,NA,NA,NA,bi(n)tuqən ?,NA,PAN,NA,NA,NA,NA,NA,NA,NA,NA,e ' a p e r ú a:u,8_1686024192_1,eˀaperúa:u kinõõ ukəha,e'aperúa:u kinõõ uku̇ha,e ' a p e r ú a:u # k i n õ õ # u k u̇ h a,der Große Bär,the Great Bear (constellation),beruang Besar (rasi bintang),eˀaperúau kinõõ parudu,e'aperúau kinõõ parudu,e ' a p e r ú a u # k i n õ õ # p a r u d u,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,celestial ; CHECK THIS (potentially a metaphor !),NA,NA,NA,NA,NA
230,8_1686024192,a,19,3,eˀaperúa:u,e'aperúa:u,NA,Stern,star,bintang,NA,NA,NA,NA,NA,NA,NA,bi(n)tuqən ?,NA,PAN,NA,NA,NA,NA,NA,NA,NA,NA,e ' a p e r ú a:u,8_1686024192_2,eˀaperúa:u eamãhã ukabake,e'aperúa:u eamãhã ukabake,e ' a p e r ú a:u # e a m ã h ã # u k a b a k e,Dreigestirn,triumvirate/triad,tiga serangkai/triad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,celestial ; CHECK THIS (potentially a metaphor !),NA,NA,NA,NA,NA
230,8_1686024192,a,19,3,eˀaperúa:u,e'aperúa:u,NA,Stern,star,bintang,NA,NA,NA,NA,NA,NA,NA,bi(n)tuqən ?,NA,PAN,NA,NA,NA,NA,NA,NA,NA,NA,e ' a p e r ú a:u,8_1686024192_3,eˀaperúa:u kaˀinãpũ unṍhõã,e'aperúa:u ka'inãpũ unṍhõã,e ' a p e r ú a:u # k a ' i n ã p ũ # u n ṍ h õ ã,Komet (?),Comet (?),Komet (?),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,celestial,NA,NA,NA,NA,NA
230,8_1686024192,a,19,3,eˀaperúa:u,e'aperúa:u,NA,Stern,star,bintang,NA,NA,NA,NA,NA,NA,NA,bi(n)tuqən ?,NA,PAN,NA,NA,NA,NA,NA,NA,NA,NA,e ' a p e r ú a:u,8_1686024192_4,eˀaperúa:u eũˀũnṹˀũĩ uˀəkaˀa/uaˀáu,e'aperúa:u eũ'ũnṹ'ũĩ u'u̇ka'a/ua'áu,e ' a p e r ú a:u # e ũ ' ũ n ṹ ' ũ ĩ # u ' u̇ k a ' a / u a ' á u,Abendstern,evening star,bintang malam,epẽkõ ukanə̃ã:ĩ,epẽkõ ukanu̇̃ã:ĩ,e p ẽ k õ # u k a n u̇ ̃ ã:ĩ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,celestial,NA,NA,NA,NA,NA
231,8_1686024516,a,19,4,ˀapiaha,'apiaha,NA,wieviel(e) ?,how much ; how many,berapa banyak; berapa banyak,ˀanõ,'anõ,' a n õ,NA,NA,NA,ˀanõ (WD),pija,NA,PAN,NA,NA,NA,NA,NA,§ 32c,§ 32c,§ 32c,' a p i a h a,8_1686024516_0,ˀapíaha-ˀapíaha,'apíaha-'apíaha,' a p í a h a - ' a p í a h a,wieviele auch immer,however many,seberapa banyak pun,aˀapíaha,a'apíaha,a ' a p í a h a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,8_1686024516,a,19,4,ˀapiaha,'apiaha,NA,wieviel(e) ?,how much ; how many,berapa banyak; berapa banyak,ˀanõ,'anõ,' a n õ,NA,NA,NA,ˀanõ (WD),pija,NA,PAN,NA,NA,NA,NA,NA,§ 32c,§ 32c,§ 32c,' a p i a h a,8_1686024516_1,kéabaˀa iˀapíaha ekaka,keaba'a i'apíaha ekaka,k e a b a ' a # i ' a p í a h a # e k a k a,es gibt nicht viele Leute,there are not many people,tidak banyak orang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,8_1686024553,a,19,5,apĩnĩ,apĩnĩ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,s pĩnĩ,see pĩnĩ,lihat pĩnĩ,a p ĩ n ĩ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,8_1686025588,a,19,6,eˀapo,e'apo,NA,Hand; Ausleger,Hand ; outrigger,Tangan; cadik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sim kaoˀ,Sim kaoˀ,Sim kaoˀ,NA,NA,NA,e ' a p o,8_1686025588_0,eˀapo udohəáo,e'apo udohu̇áo,e ' a p o # u d o h u̇ á o,Bootsausleger,Boat boom,tangan/canting perahu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,XIIz13,XIIz13,XIIz13,cultural item (?) ; boat,NA,NA,NA,NA,NA
233,8_1686025588,a,19,6,eˀapo,e'apo,NA,Hand; Ausleger,Hand ; outrigger,Tangan; cadik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sim kaoˀ,Sim kaoˀ,Sim kaoˀ,NA,NA,NA,e ' a p o,8_1686025588_1,eˀapo ukuo,e'apo ukuo,e ' a p o # u k u o,"Ast , Zweig","branch , twig","cabang , ranting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plant,NA,NA,NA,NA,NA
233,8_1686025588,a,19,6,eˀapo,e'apo,NA,Hand; Ausleger,Hand ; outrigger,Tangan; cadik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sim kaoˀ,Sim kaoˀ,Sim kaoˀ,NA,NA,NA,e ' a p o,8_1686025588_2,kamũˀãpõ,kamũ'ãpõ,k a m ũ ' ã p õ,"mit der Hand umschließen , umfassen","enclose with the hand , embrace","lingkupi dengan tangan , rangkul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nǃ,Nǃ,Nǃ,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,8_1686025588,a,19,6,eˀapo,e'apo,NA,Hand; Ausleger,Hand ; outrigger,Tangan; cadik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sim kaoˀ,Sim kaoˀ,Sim kaoˀ,NA,NA,NA,e ' a p o,8_1686025588_3,hoo mãmũˀãpõ,hoo mãmũ'ãpõ,h o o # m ã m ũ ' ã p õ,bereits umschlossen,already enclosed,sudah melingkupi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,8_1686025588,a,19,6,eˀapo,e'apo,NA,Hand; Ausleger,Hand ; outrigger,Tangan; cadik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sim kaoˀ,Sim kaoˀ,Sim kaoˀ,NA,NA,NA,e ' a p o,8_1686025588_4,kinãmũˀãpõ,kinãmũ'ãpõ,k i n ã m ũ ' ã p õ,umschlossen werden,be enclosed,terlingkupi/tertutup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,8_1686025588,a,19,6,eˀapo,e'apo,NA,Hand; Ausleger,Hand ; outrigger,Tangan; cadik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sim kaoˀ,Sim kaoˀ,Sim kaoˀ,NA,NA,NA,e ' a p o,8_1686025588_5,ehũã eˀana enãmũˀãpõ ukaka,ehũã e'ana enãmũ'ãpõ ukaka,e h ũ ã # e ' a n a # e n ã m ũ ' ã p õ # u k a k a,jene Früchte sind das Umschlossene des Menschen,those fruits are the enclosed of the human being,buah-buah itu adalah yang tertutup dari manusia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,body-part (?),NA,NA,NA,NA,NA
234,8_1686025661,a,19,7,eapõõ udopo,eapõõ udopo,NA,Dunkelheit,Darkness,Kegelapan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,põõ,NA,NA,NA,NA,NA,NA,NA,e a p õ õ # u d o p o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,8_1686025707,a,19,8,eãpõ,eãpõ,NA,"Wurm, Made, Raupe","Worm , maggot , caterpillar","Cacing, belatung, ulat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,e ã p õ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,8_1686025736,a,19,9,apoi,apoi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,s poi,see poi,lihat poi,a p o i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,8_1686025807,a,19,10,ˀApoˀiapo,'Apo'iapo,NA,Männername,Male name,Nama laki-laki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,' A p o ' i a p o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,8_1686025977,a,19,11,eãpũ,eãpũ,NA,Wurzel (einer Pflanze),Root (of a plant),Akar (tanaman),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,e ã p ũ,8_1686025977_0,eãpũ uˀõnõ,eãpũ u'õnõ,e ã p ũ # u ' õ n õ,Fersensehne  (= Achillessehne ?),heel tendon (= Achilles tendon ?),tendon tumit (= tendon Achilles?),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,s ebúhui,see ebúhui,lihat ebúhui,body-part,NA,NA,NA,NA,NA
239,8_1686026164,a,20,1,eapũˀũ,eapũ'ũ,NA,Pythonschlange,python,ular piton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"de Jong: 36 ""Python reticulatus Schn. [is] niet zeldzaam""","de Jong: 36 ""Python reticulatus Schn. [is] not rare""","de Jong: 36 ""Python reticulatus Schn. [adalah] tidak langka""",NA,NA,NA,e a p ũ ' ũ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,8_1686026325,a,20,2,eˀapṹˀũĩ,e'apṹ'ũĩ,NA,Schulterknochen,Shoulder bone,Tulang bahu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vgl epũˀũ 'Gelenk, Knoten'","compare epũˀũ 'joint , knot'","bandingkan epũˀũ 'sambungan, simpul'",e ' a p ṹ ' ũ ĩ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,8_1686034725,a,20,2,aradadi,aradadi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,s kakadi,see kakadi,lihat kakadi,a r a d a d i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,8_1686026370,a,20,3,Apuˀuíxi,Apu'uíxi,NA,Ort auf der Insel,Place on the island,Tempat di pulau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A p u ' u í x i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,8_1686034813,a,20,3,earada:əˀa,earada:u̇'a,NA,Farn,fern,pakis,eadada:əˀa,eadada:u̇'a,e a d a d a:u̇ ' a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,e a r a d a:u̇ ' a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,8_1686027184,a,20,4,eara,eara,NA,"(leibliches) Kind, Schwiegersohn; Laich, Fischeier, Ei","(biological) child , son-in-law ; spawn , fish eggs , egg","anak (biologis), menantu; bertelur, telur ikan, telur",eada,eada,e a d a,NA,NA,NA,eada (DIA),anak,NA,PAN,NA,NA,NA,NA,NA,NA,NA,NA,e a r a,8_1686027184_0,karara,karara,k a r a r a,Pl,Plural form,Bentuk jamak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,§ 2a,§ 2a,§ 2a,NA,NA,NA,NA,NA,NA
244,8_1686027184,a,20,4,eara,eara,NA,"(leibliches) Kind, Schwiegersohn; Laich, Fischeier, Ei","(biological) child , son-in-law ; spawn , fish eggs , egg","anak (biologis), menantu; bertelur, telur ikan, telur",eada,eada,e a d a,NA,NA,NA,eada (DIA),anak,NA,PAN,NA,NA,NA,NA,NA,NA,NA,NA,e a r a,8_1686027184_1,eara eakãkãnũ,eara eakãkãnũ,e a r a # e a k ã k ã n ũ,jüngstes Kind,youngest child,anak bungsu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kinship,NA,NA,NA,NA,NA
244,8_1686027184,a,20,4,eara,eara,NA,"(leibliches) Kind, Schwiegersohn; Laich, Fischeier, Ei","(biological) child , son-in-law ; spawn , fish eggs , egg","anak (biologis), menantu; bertelur, telur ikan, telur",eada,eada,e a d a,NA,NA,NA,eada (DIA),anak,NA,PAN,NA,NA,NA,NA,NA,NA,NA,NA,e a r a,8_1686027184_10,eara umĩnã uae,eara umĩnã uae,e a r a # u m ĩ n ã # u a e,kleine Zehe,little toe,jempol kaki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,body-part,NA,NA,NA,NA,NA
244,8_1686027184,a,20,4,eara,eara,NA,"(leibliches) Kind, Schwiegersohn; Laich, Fischeier, Ei","(biological) child , son-in-law ; spawn , fish eggs , egg","anak (biologis), menantu; bertelur, telur ikan, telur",eada,eada,e a d a,NA,NA,NA,eada (DIA),anak,NA,PAN,NA,NA,NA,NA,NA,NA,NA,NA,e a r a,8_1686027184_11,eara umĩnã uˀapo,eara umĩnã u'apo,e a r a # u m ĩ n ã # u ' a p o,kleiner Finger,little finger/pinkie finger,jari kelingking / kelingking,eara uˀapo,eara u'apo,e a r a # u ' a p o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,body-part,NA,NA,NA,NA,NA
244,8_1686027184,a,20,4,eara,eara,NA,"(leibliches) Kind, Schwiegersohn; Laich, Fischeier, Ei","(biological) child , son-in-law ; spawn , fish eggs , egg","anak (biologis), menantu; bertelur, telur ikan, telur",eada,eada,e a d a,NA,NA,NA,eada (DIA),anak,NA,PAN,NA,NA,NA,NA,NA,NA,NA,NA,e a r a,8_1686027184_12,eara uipikoˀo:i,eara uipiko'o:i,e a r a # u i p i k o ' o:i,Pfeil,arrow,panah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cultural item ; weapon,NA,NA,NA,NA,NA
244,8_1686027184,a,20,4,eara,eara,NA,"(leibliches) Kind, Schwiegersohn; Laich, Fischeier, Ei","(biological) child , son-in-law ; spawn , fish eggs , egg","anak (biologis), menantu; bertelur, telur ikan, telur",eada,eada,e a d a,NA,NA,NA,eada (DIA),anak,NA,PAN,NA,NA,NA,NA,NA,NA,NA,NA,e a r a,8_1686027184_13,eara uuba,eara uuba,e a r a # u u b a,Untertan,subject/subservient,subjek/bawahan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G63,G63,G63,cultural phenomenon ; metaphoric extension of child or little? CHECK THIS!,NA,NA,NA,NA,NA
244,8_1686027184,a,20,4,eara,eara,NA,"(leibliches) Kind, Schwiegersohn; Laich, Fischeier, Ei","(biological) child , son-in-law ; spawn , fish eggs , egg","anak (biologis), menantu; bertelur, telur ikan, telur",eada,eada,e a d a,NA,NA,NA,eada (DIA),anak,NA,PAN,NA,NA,NA,NA,NA,NA,NA,NA,e a r a,8_1686027184_14,eaˀaraha ukeˀepa,ea'araha uke'epa,e a ' a r a h a # u k e ' e p a,Vogelnest,bird's nest,sarang burung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,8_1686027184,a,20,4,eara,eara,NA,"(leibliches) Kind, Schwiegersohn; Laich, Fischeier, Ei","(biological) child , son-in-law ; spawn , fish eggs , egg","anak (biologis), menantu; bertelur, telur ikan, telur",eada,eada,e a d a,NA,NA,NA,eada (DIA),anak,NA,PAN,NA,NA,NA,NA,NA,NA,NA,NA,e a r a,8_1686027184_2,eara epehe,eara epehe,e a r a # e p e h e,ältestes Kind,eldest child,anak tertua,epehe uara,epehe uara,e p e h e # u a r a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kinship,NA,NA,NA,NA,NA
244,8_1686027184,a,20,4,eara,eara,NA,"(leibliches) Kind, Schwiegersohn; Laich, Fischeier, Ei","(biological) child , son-in-law ; spawn , fish eggs , egg","anak (biologis), menantu; bertelur, telur ikan, telur",eada,eada,e a d a,NA,NA,NA,eada (DIA),anak,NA,PAN,NA,NA,NA,NA,NA,NA,NA,NA,e a r a,8_1686027184_3,eara kaha:iˀibaˀa,eara kaha:i'iba'a,e a r a # k a h a:i ' i b a ' a,einziges Kind,only child,anak tunggal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kinship,NA,NA,NA,NA,NA
244,8_1686027184,a,20,4,eara,eara,NA,"(leibliches) Kind, Schwiegersohn; Laich, Fischeier, Ei","(biological) child , son-in-law ; spawn , fish eggs , egg","anak (biologis), menantu; bertelur, telur ikan, telur",eada,eada,e a d a,NA,NA,NA,eada (DIA),anak,NA,PAN,NA,NA,NA,NA,NA,NA,NA,NA,e a r a,8_1686027184_4,eara ukoyo,eara ukoyo,e a r a # u k o y o,Ferkel,piglet,anak babi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,animal,NA,NA,NA,NA,NA
244,8_1686027184,a,20,4,eara,eara,NA,"(leibliches) Kind, Schwiegersohn; Laich, Fischeier, Ei","(biological) child , son-in-law ; spawn , fish eggs , egg","anak (biologis), menantu; bertelur, telur ikan, telur",eada,eada,e a d a,NA,NA,NA,eada (DIA),anak,NA,PAN,NA,NA,NA,NA,NA,NA,NA,NA,e a r a,8_1686027184_5,eara ukẽˀẽpã,eara ukẽ'ẽpã,e a r a # u k ẽ ' ẽ p ã,Vogelei,bird's egg,telur burung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,animal,NA,NA,NA,NA,NA
244,8_1686027184,a,20,4,eara,eara,NA,"(leibliches) Kind, Schwiegersohn; Laich, Fischeier, Ei","(biological) child , son-in-law ; spawn , fish eggs , egg","anak (biologis), menantu; bertelur, telur ikan, telur",eada,eada,e a d a,NA,NA,NA,eada (DIA),anak,NA,PAN,NA,NA,NA,NA,NA,NA,NA,NA,e a r a,8_1686027184_6,eara ukiˀadobu,eara uki'adobu,e a r a # u k i ' a d o b u,Hühnerei ; Küken,hen's egg ; chick,telur ayam ; anak ayam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,animal,NA,NA,NA,NA,NA
244,8_1686027184,a,20,4,eara,eara,NA,"(leibliches) Kind, Schwiegersohn; Laich, Fischeier, Ei","(biological) child , son-in-law ; spawn , fish eggs , egg","anak (biologis), menantu; bertelur, telur ikan, telur",eada,eada,e a d a,NA,NA,NA,eada (DIA),anak,NA,PAN,NA,NA,NA,NA,NA,NA,NA,NA,e a r a,8_1686027184_7,eara uˀito,eara u'ito,e a r a # u ' i t o,Bananenstauden-Schößling,banana tree sapling,anakan pohon pisang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,plant ; flora,NA,NA,NA,NA,NA
244,8_1686027184,a,20,4,eara,eara,NA,"(leibliches) Kind, Schwiegersohn; Laich, Fischeier, Ei","(biological) child , son-in-law ; spawn , fish eggs , egg","anak (biologis), menantu; bertelur, telur ikan, telur",eada,eada,e a d a,NA,NA,NA,eada (DIA),anak,NA,PAN,NA,NA,NA,NA,NA,NA,NA,NA,e a r a,8_1686027184_8,eara ukíxo,eara ukíxo,e a r a # u k í x o,geschälter Reis,husked rice,beras sekam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ML beras,ML beras,ML beras,NA,NA,NA,rice,NA,NA,NA,NA,NA
244,8_1686027184,a,20,4,eara,eara,NA,"(leibliches) Kind, Schwiegersohn; Laich, Fischeier, Ei","(biological) child , son-in-law ; spawn , fish eggs , egg","anak (biologis), menantu; bertelur, telur ikan, telur",eada,eada,e a d a,NA,NA,NA,eada (DIA),anak,NA,PAN,NA,NA,NA,NA,NA,NA,NA,NA,e a r a,8_1686027184_9,eara uae,eara uae,e a r a # u a e,Wade,calf,betis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,animal ; fauna,NA,NA,NA,NA,NA
245,8_1686034876,a,20,4,ˀaraka,'araka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,' a r a k a,8_1686034876_0,kiˀaraka,ki'araka,k i ' a r a k a,heiser sein,be hoarse,serak,kiˀanaka,ki'anaka,k i ' a n a k a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sound,NA,NA,NA,NA,NA
246,8_1686034330,a,20,5,(ˀara),('ara),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,( ' a r a ),8_1686034330_0,kaˀaˀara,ka'a'ara,k a ' a ' a r a,ein Kind haben ; Eier legen,to have a child ; lay eggs,memiliki anak ; bertelur,kabaˀada,kaba'ada,k a b a ' a d a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,biological_event ; kinship,NA,NA,NA,NA,NA
246,8_1686034330,a,20,5,(ˀara),('ara),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,( ' a r a ),8_1686034330_1,hoo baˀara,hoo ba'ara,h o o # b a ' a r a,bereits ein Kind haben,already have a child,sudah memiliki anak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,biological_event ; kinship,NA,NA,NA,NA,NA
