stem_id	example_id	example_form	ex_DE	ex_EN	ex_IDN	example_variant	ex_variant_DE	ex_variant_EN	ex_variant_IDN	example_dialect_variant	example_etymological_form	example_etymological_language_donor	example_loanword_form	example_loanword_language_donor	example_source_form	example_source_form_homonymID	ex_remark_DE	ex_remark_EN	ex_remark_IDN	ex_crossref_DE	ex_crossref_EN	ex_crossref_IDN	ex_concept	ex_variant_concept	ex_remark_concept	ex_crossref_concept
11_1684220262	11_1684220262_3	Kaˀã:ũno kapúˀua uˀea	Name eines Subclans	Name of a subclan	Nama submarga	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684221597	11_1684221597_0	kia kikaba ia eodia	er läßt sich selbst im Stich , gibt sich auf	he lets himself down , gives himself up	dia mengecewakan dirinya sendiri, menyerahkan dirinya sendiri	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	G33	G33	G33	emotion?	NA	NA	NA
11_1684221597	11_1684221597_1	kabukaba	jmd im Stich lassen	to let someone down	mengecewakan seseorang	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	emotion?	NA	NA	NA
11_1684283640	11_1684283640_0	kipakaba	nach oben sehen , aufsehen , -schauen	to look up	melihat ke atas	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	perception	NA	NA	NA
11_1684285480	11_1684285480_0	ekabake kaˀao	Verstorbener	deceased (person)	almarhum (untuk orang)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	die	NA	NA	NA
11_1684285581	11_1684285581_0	kikabéaˀa	etwas aufklappen	to open something up	membuka sesuatu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	vgl kabəaˀa ausschlüpfen	see kabəaˀa ‘to hatch’	lihat kabəaˀa ‘menetas’	NA	NA	NA	NA
11_1684286886	11_1684286886_0	kikabita	hängenbleiben	to get stuck	terjebak	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	posture?	NA	NA	NA
11_1684286886	11_1684286886_1	kikabitaˀa	etwas aufhängen , an etwas hängen bleiben , sich an etwas festhängen	to hang something , to get caught on something , to attach oneself to something	menggantung sesuatu , terjebak pada sesuatu , menempelkan diri pada sesuatu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	posture?	NA	NA	NA
11_1684286886	11_1684286886_2	kia kikabitaˀa kia iporemãkã ukeˀo	er hat sich an den Ranken des Rotan festgehängt	he has attached himself to the tendrils of the rotan	ia telah melekatkan dirinya pada sulur-sulur rotan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	posture?	NA	NA	NA
11_1684286886	11_1684286886_3	kabakabitaˀa	etwas an etwas hängen	to hang something on something	menggantungkan sesuatu pada sesuatu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	posture?	NA	NA	NA
11_1684286886	11_1684286886_4	ˀua kabakabitaˀa ekuo eˀana enõˀõhõ?õ:ũ	ich hänge meine Last an jenen Baum	I hang my burden on that tree	Aku menggantungkan bebanku di pohon itu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	posture?	NA	NA	NA
11_1684286886	11_1684286886_5	ekabitaˀaho	(noun) Aufzuhängende	(things) to be hung (noun)	(benda) yang digantung (kata benda)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	posture?	NA	NA	NA
11_1684286886	11_1684286886_6	edikabitaˀa	(noun) Aufgehängte	(things) that have been hung (noun)	(benda) yang telah digantung (kata benda)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	posture? polysemy	NA	NA	NA
11_1684286886	11_1684286886_7	kakabitaixi	hake etwas einǃ	hook something in! (sg)	kaitkan benda itu! (bentuk tunggal)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G74	G74	G74	posture?	NA	NA	NA
11_1684287154	11_1684287154_0	kikabo	(zu einer Versammlung) rufen , einladen	to call (to a meeting) , to invite	memanggil (ke pertemuan) , mengundang	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	communication verb	NA	NA	NA
11_1684287154	11_1684287154_1	ekitabo	(noun) Gerufene , Gast	called (person) (noun) , guest	(orang) yang diundang (kata benda) , tamu	edikabo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	communication verb ; polysemy? metonymy?	NA	NA	NA
11_1684287154	11_1684287154_2	epakabo	das Einladen	the invitation	undangan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	communication verb ; polysemy? metonymy?	NA	NA	NA
11_1684288438	11_1684288438_0	ekabo	Netz	net	jaring	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	ML jaring	ML jaring	ML jaring	NA	NA	NA	cultural item/fishing	NA	NA	NA
11_1684288438	11_1684288438_1	kaˀakabo	mit einem Wurfnetz fischen	fishing with a cast net	memancing dengan jaring tebar	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	fishing domain	NA	NA	NA
11_1684288438	11_1684288438_2	dabaˀakabo	sie fischen	they fish	mereka memancing	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	111z17	111z17	111z17	fishing domain	NA	NA	NA
11_1684288438	11_1684288438_3	kabakaboi	etwas fischen	fishing something	memancing sesuatu	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	fishing domain	NA	NA	NA
11_1684288438	11_1684288438_4	ekabuˀá:iyo	Netz zum fangen von Wildschweinen	Net for catching wild boars	Jaring untuk menangkap babi hutan	NA	NA	NA	NA	NA	NA	""""	NA	""""	ekabo uˀobo	NA	NA	NA	NA	§ 10a	§ 10a	§ 10a	cultural item/hunting	NA	NA	NA
11_1684288831	11_1684288831_0	kikabu	anfassen , ergreifen	to touch , seize	menyentuh, merebut	kaˀikabu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain possession	NA	NA	NA
11_1684288831	11_1684288831_1	kidikabu	wird angefaßt	is touched	tersentuh	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain possession	NA	NA	NA
11_1684288831	11_1684288831_2	hoo bukabu	faßte bereits an	already touched	sudah memegang	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain possession	NA	NA	NA
11_1684288831	11_1684288831_3	eaˀikabu	das Anfassen , Ergreifen	touching , grasping (noun)	sentuhan , genggaman (kata benda)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain possession	NA	NA	NA
11_1684288831	11_1684288831_4	edikabu	(noun) Angefaßte	(things) touched (noun)	(benda) yang disentuh (kata benda)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gain possession	NA	NA	NA
11_1684289032	11_1684289032_0	he nãnãki ekabuˀa:iyo	wohlan , spanne aus das Fischnetz	Well , put out the fish net	Baiklah, keluarkan jaring ikannya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MOD ecabuaio ML diala[=jala]	MOD ecabuaio ML diala[=jala]	MOD ecabuaio ML diala[=jala]	aber H16 èkaboeäjo klein werpnet in gebruik bij de zeevischvangst	but H16 èkaboeäjo 'small casting net used in sea fishing'	tetapi H16 èkaboeäjo 'jaring tebar kecil yang digunakan untuk menangkap ikan di laut'	fishing domain	NA	NA	cultural item ; CHECK THIS
11_1684289088	11_1684289088_0	epahakabudiaˀa	das Zusammensein	the being-together	kebersamaan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	state?	NA	NA	NA
11_1684289253	11_1684289253_0	kikabuku	verwitwet	widowed	janda	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	kinship	NA	NA	NA
11_1684290353	11_1684290353_0	kikadea	ein eakalea-Fest veranstalten	to organize an Eakalea festival	menyelenggarakan festival Eakalea	kikalea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684290353	11_1684290353_1	kabukadea	das eakalea -Fest feiern	to celebrate an Eakalea festival	merayakan festival Eakalea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684290353	11_1684290353_2	eakadea	Fest	festival	festival	eakalea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	s Erz XIII-XV	see narrative XIII-XV	lihat teks naratif XIII-XV	NA	NA	NA	NA
11_1684290353	11_1684290353_3	ekaedaha	Festplatz	festival-place	tempat festival	ekaleaha	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684290689	11_1684290689_0	ekadii	das Tau	the rope	tali	eakadio	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684290824	11_1684290824_0	ekadixa uae	Knöchel (am Fuß)	Ankle (on the foot)	Pergelangan kaki (di kaki)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	body-part	NA	NA	NA
11_1684290957	11_1684290957_0	eakadio	das Tau	the rope	tali	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684290957	11_1684290957_1	kakakadio	rund	round	bulat	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	s euba	see euba	lihat euba	space	NA	NA	NA
11_1684290957	11_1684290957_2	kipakakadio	einen Kreis bilden	to form a circle	membentuk lingkaran	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	motion	NA	NA	NA
11_1684290957	11_1684290957_3	kipakakaliə	etwas umschreiten , umkreisen	to go around something , circle	(berjalan) mengitari, mengelilingi sesuatu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	motion	NA	NA	NA
11_1684290999	11_1684290999_0	kikadita	(Haare) flattern	to flutter (hair)	berkibar (rambut)	kakadita	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684291384	11_1684291384_0	pakadodi	(Fischnetz) geschlossen (d.h. einen Kreis gebildet?)	(fishnet) closed (i.e. formed a circle?)	(jala) tertutup (yaitu membentuk lingkaran?)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G71	G71	G71	fishing	NA	NA	NA
11_1684291758	11_1684291758_0	kakakadodi	rund	round	bulat	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	space	NA	NA	NA
11_1684291758	11_1684291758_1	eakakadodi	Rundsein	roundness	kebulatan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	space	NA	NA	NA
11_1684291758	11_1684291758_2	kipakakarodi	einen Kreis bilden	to form a circle	membentuk lingkaran	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	motion	NA	NA	NA
11_1684291758	11_1684291758_3	kikadodixi	sich im Kreis setzen um etwas/jmd , einen Kreis bilden um etwas/jmd	to sit in a circle around something/someone , to form a circle around something/someone	duduk melingkar mengelilingi sesuatu/seseorang , membentuk lingkaran mengelilingi sesuatu/seseorang	kikarodixi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	posture	NA	NA	NA
11_1684291758	11_1684291758_4	dabukadodixi	sie bilden einen Kreis um sie	they form a circle around her	mereka membentuk lingkaran di sekelilingnya	dapakakadodi ki	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	posture	NA	NA	NA
11_1684291758	11_1684291758_5	ekadodio	das Rundsein ; Bezirk , Kreis	the roundness ; area , circle	kebulatan ; area , lingkaran	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	H16 karorie(j)e ""landschap , district""	H16 karorie(j)e 'landscape , district'	H16 karorie(j)e 'bentang alam/pemandangan , distrik'	space; polysemy?	NA	NA	NA
11_1684291758	11_1684291758_6	euba ekadodio	Rundhaus , ""Bienenkorbhaus""	round house , ""beehive house""	rumah bundar , ""rumah sarang lebah""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MOD tav. VIII auf S.113	MOD table VIII on page 113	MOD tabel VIII pada halaman 113	cultural item/housing	NA	NA	NA
11_1684292487	11_1684292487_0	kipakadóho:i	überschwemmen	flood	banjir	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	natural force	NA	NA	NA
11_1684292487	11_1684292487_1	eˀue kipakadóho:i edopo	das Meer überschwemmt das land	the sea floods the land	laut membanjiri daratan	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	natural force	NA	NA	NA
11_1684292487	11_1684292487_2	kidikadóho:i	überschwemmt werden	to be flooded	dibanjiri	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684292487	11_1684292487_3	kipakadohÍaˀa	etwas mit etwas überschwemmen	to inundate something with something	membanjiri sesuatu dengan sesuatu	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	natural force; polysemy	NA	NA	NA
11_1684292487	11_1684292487_4	ˀua kipakadohíaˀa eboo iˀioo upia	ich überschwemme die Pflanzung mit Wasser	I flood the planting with water	Saya membanjiri tanaman dengan air	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	natural force	NA	NA	NA
11_1684292487	11_1684292487_5	edikadóho:i	(noun) überschwemmte	flooded (things) noun	yang dibanjiri (kata benda)	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	natural force	NA	NA	NA
11_1684292487	11_1684292487_6	edopo edikadóho:i uˀue	das Land ist das Überschwemmte des Meeres	the land is the flooded area of the sea	daratan adalah daerah yang tergenang air laut	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684293373	11_1684293373_0	kikadoho:i	überfallen	to ambush	menyergap	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684293373	11_1684293373_1	hoo bakadoho:i	überfiel bereits	already invaded	sudah menyerang	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684293373	11_1684293373_2	epakadoho:i	der überfall	the raid	penggerebekan	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	70z4f	70z4f	70z4f	NA	NA	NA	NA
11_1684293452	11_1684293452_0	kipakadoho:i	etwas reichlich tun	to do something abundantly	melakukan sesuatu dengan berlimpah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684293452	11_1684293452_1	kipakakadoho:i	etwas reichlich tun	to do something abundantly	melakukan sesuatu dengan berlimpah	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684293518	11_1684293518_0	epakakadoho:i	Zusammenarbeit	Cooperation	Kerjasama	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684293909	11_1684293909_0	eakaə	Jagdpfad	Hunting trail	Jejak berburu	eakao	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cultural item/hunting	NA	NA	NA
11_1684293909	11_1684293909_1	eakaəda	ein Stück Wald , das für die Jagd mit netzen gesäubert ist ; Jagdrevier	a piece of forest cleared with nets for hunting ; hunting ground	sebidang hutan yang dibuka dengan jaring untuk berburu ; tempat berburu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	location/hunting	NA	NA	NA
11_1684294176	11_1684294176_0	eká:əhəa	Jagdrevier , Fischwehr	Hunting reserve , fishing weir	Cagar alam berburu , bendung memancing	ekáhəa	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	XIz16	XIz16	XIz16	location/hunting	NA	NA	NA
11_1684294176	11_1684294176_1	kiika:əhəa	Fischwehre (Pl)	Fish weirs (plural form)	Bendung ikan (bentuk jamak)	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	127z29	127z29	127z29	cultural item/fishing	NA	NA	NA
11_1684294176	11_1684294176_2	kaˀaka:əhəa	ein Jagdrevier besitzen	own a hunting ground	memiliki tempat berburu	kabaˀaka:əhəa	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	location/hunting	NA	NA	NA
11_1684294176	11_1684294176_3	eaˀaká:əhəa	das ein Jagdrevier Besitzen	the owning of a hunting ground	memiliki tempat berburu	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	location/hunting	NA	NA	NA
11_1684294176	11_1684294176_4	eara:əhəaˀaˀa	das Netze Spannen	the stretching of nets	peregangan jaring	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	cultural activity/fishing	NA	NA	NA
11_1684294235	11_1684294235_0	kaká:əhea	dauernd benutzen	to use constantly	digunakan terus-menerus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684299620	11_1684299620_0	eakãhã ukaˀá:iˀio	Speerschaft	spear-shaft	tombak-poros	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cultural items	NA	NA	NA
11_1684299620	11_1684299620_1	eakãhã uoˀo:iji	Schaft des Paddels	Paddle shaft	Poros dayung	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cultural items	NA	NA	NA
11_1684299955	11_1684299955_0	kikahabáha:i	etwas damit fangen	catch something with it	menangkap sesuatu dengan itu	kadahabaha:i ; karahabaha:i	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	§ 42b	§ 42b	§ 42b	cultural activity	NA	NA	NA
11_1684299955	11_1684299955_1	dabarahabaha:i	sie fingen damit	they hunted/caught with it	mereka berburu/menangkap dengan itu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684299955	11_1684299955_2	earahabaha	das mit Netzen Jagen	hunting with nets (noun)	berburu dengan jaring (kata benda)	earahabahe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cultural activity/hunting	NA	NA	NA
11_1684300239	11_1684300239_0	yádaˀa bukahabaha:e edopo	vernebele nicht die Erdeǃ	do not cast fog on the earth!	janganlah menebarkan kabut di bumi!	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684300379	11_1684300379_0	kipakahadíaˀa ekidai	jmd zu etwas bewegen , veranlassen ; zu etwas überreden	to induce someone to do something ; to persuade someone to do something.	membujuk seseorang untuk melakukan sesuatu ; membujuk seseorang untuk melakukan sesuatu.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684300979	11_1684300979_0	kaha:uka	Halbwaise	Half-orphan	yatim	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	kinship	NA	NA	NA
11_1684301133	11_1684301133_0	ekahaha ˀamũhõ	Skorpion	scorpion	kalajengking	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sim [a]teŋaŋan	Sim [a]teŋaŋan	Sim [a] teŋaŋan	vgl ekə́həa ekahaha männliche Seeschildkröte	cf. ekə́həa ekahaha ‘male sea turtle’	lih. ekə́həa ekahaha ‘penyu jantan’	astrology	NA	NA	fauna ; CHECK THIS
11_1684301608	11_1684301608_0	kaha:iˀi-kaha:iˀi	einzeln , jeder für sich	individually , each for themselves	secara individu , masing-masing untuk diri mereka sendiri	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	§ 32b	§ 32b	§ 32b	pronoun	NA	NA	NA
11_1684301608	11_1684301608_1	kia kaha:iˀidaˀa	er selbst , er allein	he himself , he alone	dia sendiri , dia sendiri	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	pronoun	NA	NA	NA
11_1684301608	11_1684301608_2	kaha:iˀi ekaka hii kipãˀã:ũˀũ	dreißig	thirty	tiga puluh	kaha:iˀi etaka hii kipãˀã:ũˀũ	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	numbers	NA	NA	NA
11_1684301608	11_1684301608_3	e[ˀ]akaha:iˀi	das Einssein , die Einheit	the oneness , the unity	keesaan , kesatuan	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684301608	11_1684301608_4	e[ˀ]akaha:iˀi ukitai	das Einigsein	the unity	kesatuan	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684301608	11_1684301608_5	kaha:iˀi ekidai	sich entschließen	to decide	memutuskan	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684301608	11_1684301608_6	kipakaha:iˀi	(sich) zusammentun , vereinen	(to) join together , unite	bergabung bersama, bersatu	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684302181	11_1684302181_0	hoo mũkahanõnõ	bereits fest schlafen	to already sleep soundly	sudah tidur nyenyak	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684302181	11_1684302181_1	ekahanõnõ	das feste Schlafen	the sound sleeping	tidurnya yang nyenyak	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	G20	G20	G20	NA	NA	NA	NA
11_1684818734	11_1684818734_0	ededeaki	Pl	Plural	bentuk jamak	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684819089	11_1684819089_0	eakapita uboo	Flußmündung	river mouth	muara sungai	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684819089	11_1684819089_1	ekoˀeˀe iakapita	Dämon an der Flußmundung	Demon at the river mouth	Iblis di muara sungai	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	s H88:280 èkowèk ijakafita	see H88:280f über èkowèk ijakafita	lihat H88:280f tentang èkowèk ijakafita	NA	NA	NA	NA
11_1684819992	11_1684819992_0	ekãpũ	Sippenvorsteher ; alter Mann , Senior	clan leader ; old man , senior	pemimpin klan ; orang tua , senior	NA	NA	NA	NA	NA	t·empu	10	NA	""""	NA	NA	Sim ambu=ambo Großeltern	Sim ambu=ambo 'grandparents'	Sim ambu=ambo 'kakek dan nenek'	VIIIz20	VIIIz20	VIIIz20	NA	NA	kinship ; CHECK THIS	NA
11_1684819992	11_1684819992_1	kanãpũ	Pl	Plural	bentuk jamak	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684819992	11_1684819992_2	eˀakapũˀã	Häuptling	Chief	Ketua	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684819992	11_1684819992_3	kãpũ	alt , groß , erwachsen sein ; heranwachsen	to be old , tall , grown up ; grow up	menjadi tua , tinggi , dewasa ; tumbuh dewasa	kãpũũ	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684819992	11_1684819992_4	epae eˀana hoo kãpũũ	das Kind ist schon groß	the child is already big	anak sudah besar	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684819992	11_1684819992_5	yakãpũũ	es wuchs heran	it grew up	itu tumbuh	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684819992	11_1684819992_6	kakakapũũ	allmählich heranwachsen	grow up gradually	tumbuh secara bertahap	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684819992	11_1684819992_7	kõˀõ kapũũ	Mitternacht	midnight	tengah malam	kõˀã kapũũ	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684820458	11_1684820458_0	kahakara	ein Stück	one piece	satu potong	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684820785	11_1684820785_0	kikaráˀa	zerbrechen	to break	pecah ; patah	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	intr	intransitive	intransitif	NA	NA	NA	NA	NA	NA	NA
11_1684820785	11_1684820785_1	epidíí kikaraˀa	der Teller zerbricht	the plate breaks	piringnya pecah	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684820785	11_1684820785_2	kikaraˀáˀa	etwas zerbrechen	to break something	memecahkan sesuatu ; mematahkan sesuatu	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	tr	transitive	transitif	NA	NA	NA	NA	NA	NA	NA
11_1684820785	11_1684820785_3	ekaraˀaho	(noun) zu Zerbrechende	(things) to be broken (noun)	(benda) yang dipatahkan (kata benda)	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11_1684820785	11_1684820785_4	edikaraˀaˀa	(noun) Zerbrochene	broken (things) (noun)	(benda) yang rusak (kata benda)	NA	NA	NA	NA	NA	NA	""""	NA	""""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
